"identifiedBy","reps"
"(Hall)Raymond",1
"Hall; Schuchert",1
"(Hall), Shimer",1
"Hall, Shimer",1
"Hall, Stose",1
"Hall, Tomasz K. Baumiller, Donald B. Macurda, Jr.",1
"Hall, White",1
"(HALL | WHITEFIELD)",1
"(Hall), Whittington+Campbell",1
"Halszka Osmolska, Ewa Roniewicz",1
"Haluk Anad",1
"Hamilton, E.",1
"Hamish G. Robertson",1
"Hamlet Clark",1
"Hammett",1
"Hammond",1
"Hams, Arnold G. Kluge",1
"Handel T. Martin",1
"Handley",1
"Hanna; Hertlein",1
"Hans Klompen",1
"Hans-Peter Schultze, David Bardack",1
"HANTKIN",1
"Harald A. Rehder",1
"Harbison",1
"Hargitt",1
"Harlan K. Dean, James A. Blake",1
"Harley J. van Cleave",1
"HARLTON ?",1
"Hörnschemeyer, Thomas",1
"Harold Heatwole",1
"Harold J. Bissell",1
"Harold T. Woodall",1
"Harrell Strimple",1
"HARRIS | LALICKER",1
"Harrison, Jessica, (NMNH Exhibits), Smithsonian institution - National Museum of Natural History (UNITED STATES)",1
"Harris P. Dawson",1
"Harry Schelwald Swarth",1
"Hart, C. F.",1
"HARTLEY",1
"Hartmut Haubold, Adrian P. Hunt, Spencer G. Lucas, Martin G. Lockley",1
"Hartstein, E",1
"(Hartt), Amadeus William Grabau",1
"Harutaka Harta",1
"Harutaka Hata",1
"Harvard Asiatic Primate Expedition",1
"Hasiotis, S2, Stephen",1
"HASSALL",1
"Hassler Expedition, +H",1
"Hatch",1
"Hathaway",1
"Hattin, D1",1
"(Hauer), Bernhard Kummel",1
"Hauff",1
"Hauff, B.",1
"(Haug), Buckman",1
"Haug, Carolin, University of Munich (LMU) (GERMANY)",1
"(Haug), G. A. Moore",1
"H. Austin",1
"Hawkins, Hubert Lyman Clark",1
"Hawle+Corda, Raymond",1
"(Hawle+Corda), Whittington",1
"Hazzard, Roy",1
"H. Barraclough Fell",1
"H.B.H.",1
"H. Bigelow",1
"H. Bomans",1
"H.B. Rice",1
"H. Burt",1
"H. C. Barrett",1
"H. Clariko",1
"H. Coolidge",1
"H. Courtier",1
"H. Courtiere",1
"H. Couzijn",1
"H. de Saussure",1
"H. Draper",1
"H. D. Sues",1
"Heatwole",1
"Heckert & Fraser",1
"H. E. Coale",1
"Hedges, Thomas",1
"Hedgpeth, J",1
"H.E.F., 1947",1
"(Heilprin), Amadeus William Grabau",1
"Heine",1
"Heinrich Georg Bronn, Alpheus Hyatt",1
"Heinrich Neustetter",1
"Held, EE, Edward",1
"Heldor Nestor",1
"Helene Ferranti",1
"Helen F. Evans",1
"Helen J. Plummer",1
"H.E. Lloyd",1
"Helperin",1
"Henbest, Lloyd George",1
"Henderson, BR1",1
"Henderson, J.",1
"Henri M. Blainville",1
"Henri Milne-Edwards, Jules Haime",1
"Henry A. Purdie",1
"Henry F. Howden, O. P. Young",1
"Henry F. Osborn, Jacob L. Wortman",1
"Henry Galiano",1
"Henry Herlin",1
"Henry H. Lane",1
"Henry Nettleroth",1
"Henry Seton",1
"Henry S. Fitch, Alice Fitch Echelle, Anthony A. Echelle",1
"Henry Skinner",1
"Henry Weed Fowler, Emmett Reid Dunn",1
"Hentz",1
"Heok Hee Ng, Maurice Kottelat",1
"Hera Konstantinou",1
"Herbert G. Deignan",1
"Herbert H. Brimley",1
"Herbert H. Covert",1
"Herbert H. Smith",1
"Herbert H. Winters",1
"(Herbst)",1
"Hermann Pohle",1
"Heron-Allen, Earland",1
"Hertlein; Grant",1
"Herwig",1
"Hesegawa",1
"Hewitt[?]",1
"H. F. Bigelow",1
"H. F. Hansen",1
"H. F. Strohecker",1
"H. G. Mcdonald",1
"H. G. Sargent",1
"H. H. Bailey",1
"H Herpers : Field Museum",1
"H. H. Griffin",1
"H. H. Hobs, Jr.",1
"H. Howe",1
"H Humberg",1
"Hicks",1
"Higginbotham, Joan",1
"Higgins, DF1",1
"Hiller & Werding",1
"Hills; Sweet",1
"H. IMplom",1
"Hinde",1
"Hinklemann",1
"Hinrich Kaiser, Christine M. Dwyer, W. Feichtinger, M. Schmid",1
"Hiram A. Cutting",1
"Hirayami",1
"Hiromitsu Endo",1
"Hiroshi Ozaki",1
"Hirotami T. Imai",1
"Hirotsugu Mori, Patrick S. Druckenmiller, Gregory M. Erickson",1
"(Hisinger)",1
"H. James Gut",1
"H.J. Walker",1
"H. Keeping",1
"H. K. Oliver",1
"H. Levi",1
"H. Matthes",1
"H. Mendez",1
"H. Mile",1
"H. M. Warren",1
"Hoare; Smith",1
"HOARE | STURGEON",1
"(Hobbs), Walcott",1
"Hodgkins, JM2",1
"Hodnett, John-Paul, Graduate Student, St. Joseph's University (UNITED STATES)",1
"Hoffmann",1
"Hofker, J.",1
"Hoge, Romano",1
"Holl.",1
"Holman, J. A.; Schloeder, M. E.",1
"Holroyd, Patricia",1
"Holt, Ed",1
"Holtz, Thomas Richard, Jr., Professor (UMD), University of Maryland (UNITED STATES)",1
"H.O Lund",1
"H.O. Lund",1
"Hoogmoed(?)",1
"Hook, Robert W., (UTVPL), University of Texas at Austin (UNITED STATES)",1
"Hopkins Marine Station",1
"Hoppinger, JJ",1
"Hopson",1
"Horace R. Burke",1
"Horacio Higuchi, Karsten E. Hartel",1
"Horacio Higuchi, K. Watanabe",1
"Horacio R. Storer",1
"Hoskins, R. H.",1
"Hotchkiss, Frederick H.C.",1
"Ho Ting-Sho",1
"Hough; Alf",1
"Houghton, C.",1
"Hout",1
"Howard R. Hetzel",1
"Howard Sanders",1
"Howard Smith",1
"Howard Wright",1
"(HOWE)",1
"HOWE | DOHM",1
"Howe; Ellis",1
"HOWE, ELLIS",1
"HOWE, HADLEY",1
"HOWE | HOUGH",1
"HOWE, HUFF",1
"HOWE, JOHNSON",1
"Howell; Hale",1
"HOWE | MCGUIRT",1
"HOWE, MCGUIRT",1
"HOWE | STEPHENSON",1
"Hoyt, R. D., Davey, J. R.",1
"H. P. Sturtivant",1
"H. R.",1
"H.R.",1
"HR Dodge",1
"H. Riveroll",1
"H. R. Merritt",1
"H. Rowe, 1969",1
"(H-S)",1
"HSB",1
"H. Soares",1
"H. S. Swarth",1
"Hubbell",1
"Hubert Lyman Clark, Kier",1
"Hubert Lyman Clark, Landing",1
"Hugo A. James",1
"Humer, Judy",1
"Hung",1
"Hungerford",1
"Hunter",1
"Hunt, Jr., Robert",1
"Hurlburt",1
"H.W.",1
"H. W. Beers",1
"H.W. Breedlove",1
"H. W. Copeland",1
"H. Wieneke",1
"H. W. Jones",1
"Hwt.",1
"Hyatt, August Frederick Foerste",1
"(Hyatt+Smith), Kummel+Erben",1
"H. Y. Chen, Dr. Norman F. Johnson",1
"Hyne, Frank C.; Hyne, Rebecca R.",1
"HZahelv",1
"Ian Rolfe, MCZ",1
"Ian Wang",1
"Ichikawa, W, Wataru",1
"I. Das",1
"ident A.B. Shaw",1
"ident Barrande",1
"ident. Best",1
"ident. By Barrande",1
"Ident. By Walcott as narrow form of P. adamsi",1
"Identified: A.B. Shaw",1
"Ident. Shaw",1
"ident. Walcott",1
"ident. Whittard",1
"I.D. Gauld",1
"I. Eeckhaut",1
"I. F. M.",1
"Ihering",1
"I. Ijima",1
"I. L. Alalykina",1
"(I, Lea)",1
"I. M. Newell",1
"I. Moreno",1
"Implom",1
"Indika Karunarathna",1
"Indya Thompson",1
"Ines Horovitz",1
"Instituto Nacional de Pesquisas da Amazônia",1
"International Commission on Zoological Nomenclature",1
"Ioannis E. Batjakas, Alistair E. Economakis, Kent E. Carpenter",1
"IOS",1
"Ira E. Cornwall",1
"Irish",1
"Irish.",1
"Irma Nieto-Castañeda",1
"IRT",1
"Irvy R. Quitmeyer",1
"Irwin; Jones; Pessagno, Emile A.",1
"Isch., D., B.",1
"Ismet Rasin Tumturk",1
"I. T. Rodriguez",1
"Ivar Skarland",1
"Iverson",1
"Ivo de Sena Oliveira, et.al.",1
"j",1
"J.A. Blake, ii.2008",1
"Jackie Palmer",1
"Jack Nielson",1
"Jackson, Hubert Lyman Clark",1
"(Jackson), Jackson, [no agent data]",1
"Jacob L. Wortman, William D. Matthew",1
"Jacobs, Jeremy F.",1
"Jacqueline F. Webb, Leslie S. Kaufman",1
"Jacqueline F. Webb, Paula M. Mabee",1
"Jacques Bons, Pasteur",1
"J. A. Cruz-López",1
"J. A. D.",1
"Jaekel",1
"J.A.F. Garrick",1
"Jaime Villa",1
"Jai N. Pandey, V. V. Sastri",1
"Jalen Winstanley, Rachel L. Hawkins",1
"J. Alpert, Alfred W. Ebeling",1
"J. A. Mari Mutt",1
"James A. Cushman, Marcus A. Hanna",1
"James A. Dawson",1
"James A. G. Rehn",1
"James A. Grigg",1
"James A. Oliver",1
"James A. Pedersen",1
"James A. Waters",1
"James, Bradley",1
"James B. Zetek",1
"James D. Durst",1
"James D. Gardner",1
"James E. Cardoza",1
"James E. Craddock, Christopher P. Kenaley",1
"James E. Craddock, G. Richard Harbison",1
"James E. Craddock, Jon A. Moore, Karsten E. Hartel",1
"James E. Craddock, Karsten E. Hartel, Antony S. Harold",1
"James E. Craddock, Lew N. Scotton",1
"James E. Craddock, Pamela T. Polloni",1
"James E. Craddock, Richard H. Backus",1
"James Eights",1
"James E. Martin, John R. Foster",1
"James E. Mosimann, George B. Rabb",1
"James F. Clark",1
"James F. Matta",1
"James, Franklin D. Ross",1
"James G. Cooper",1
"James G. Honey",1
"James Hall, Josiah Dwight Whitney",1
"James H. McDunnough",1
"James K. Edwards",1
"James L. Peters, Arthur Loveridge",1
"James L. Peters, Ludlow Griscom",1
"James M. Barnard",1
"James Moody",1
"James M. Safford",1
"James M. Turbeville",1
"James O. Farlow",1
"James O. Farlow, Daniel L. Brinkman",1
"James O. Farlow, Martin G. Lockley",1
"James O. Farlow, Shoji Hayashi, Glenn J. Tattersall",1
"James P. Barry, Randall E. Kochevar, Charles H. Baxter, Christopher Harrold",1
"James Perran Ross",1
"James Reed",1
"James R. Firley",1
"James R. Reddell",1
"James S. Couch",1
"J. A. Monro",1
"Janet Bertog",1
"Janet Moore",1
"Janet Voight",1
"Janine N. Caira, Karsten E. Hartel",1
"Janis A. Roze, daSilva",1
"Janis Speel, L. Rogers",1
"Jansen",1
"Jantan",1
"Jared Diamond and John Terborgh",1
"Jared M. Diamond, J. W. Terborgh",1
"J. Armstrong",1
"J.A. Robertson",1
"JA Robertson",1
"J. Arriaga-Ochoa",1
"Jarvis",1
"JASchulteII et.al.",1
"Jéssica H. Viana",1
"Javier Pereda-Suberbiola, Peter M. Galton",1
"Jay A O'Sullivan",1
"Jay A. O'Sullivan",1
"Jay F. W. Pearson",1
"Jay Kelley, David R. Pilbeam",1
"JB, 6 March 1977 (= Jack Brookhart ?)",1
"J. Barrande",1
"J. Boughman, Labbish N. Chao",1
"J. Buck",1
"J. Carlson",1
"J. Carroll",1
"J. Case",1
"J. Cate, Oct 1963",1
"J.C. Briggs, P. Parker",1
"J.C. Chamberlin",1
"J. C. Gwilliam",1
"J. Chapman, 1977",1
"J.C. Markham",1
"J.C. Moberg ident. (see back of label)",1
"JDA",1
"J. D. Archibald, J. K. Rigby, Steven F. Robison",1
"J. D. Archibald, Robert M. Schoch, J. K. Rigby",1
"J. Davis",1
"J.D. DiBattista",1
"J.D. DiBattista, John E. Randall",1
"J. D. Dodd",1
"J. Diesenbach",1
"J. Dixon",1
"J. Drayton, James Dwight Dana",1
"J. D. Soper",1
"J. D. Thurber",1
"J. D. Whitney",1
"Jean-Baptiste Pierre Antoine de Monet, Chevalier de Lamarck",1
"Jean-Cristophe Joyeaux, J. G. Baer",1
"Jean Just",1
"Jeanne Alexander",1
"Jeannette Hash",1
"Jean Sudre",1
"Jean T. Delacour",1
"Jeffery C. Christensen",1
"Jeffery Leis, Cassie Lyons",1
"Jeffery Leis, William Smith-Vaniz",1
"Jeffery S. McKinnon",1
"Jeff Monchamp",1
"Jeff Nakola",1
"Jeffrey A. Wilson, Judith A. Schiebout",1
"Jeffrey H. Schwartz, Leonard Krishtalka",1
"Jeffrey K. Waage",1
"Jeffrey Walker",1
"Jeffries Wyman",1
"Jeff W. Shultz",1
"J. E. Fulton",1
"Jehoshua Kugler",1
"Jeiteles",1
"Jeittleles",1
"JEM",1
"Jennifer Wheaton Smith",1
"JENNINGS",1
"(JENNINGS)",1
"J. E. Norton",1
"Jensen, J. A.",1
"Jenyns",1
"Jepsen",1
"Jerry D. Hardy",1
"Jerry E. Upp",1
"Jerry Harasewych",1
"Jerry N. McDonald",1
"Jerry N. McDonald, Clayton E. Ray",1
"Jesús Ballesteros-Chavez",1
"J. E. Smith",1
"Jesse Sanchez",1
"Jessica A. Harrison",1
"JEVial",1
"J. Fields",1
"J. F. Jackson",1
"(J, F, James, Osgood",1
"J. Géry",1
"J. G. Bell",1
"J. G. Edwards",1
"J.G.E. Lewis",1
"J. Goedert",1
"J.G. Shute",1
"J.H. Blake, 1936",1
"J.H. Clarke",1
"J. H. Couper",1
"J. H. Fowler",1
"J. H. Guimaraes",1
"J. H. Primavera",1
"J. H. Simpson",1
"J. H. Stock, 1973",1
"J. Hutchison",1
"Jia-jian Zheng, Yong-sheng Tong, Hung-xiang Chi",1
"Jimenez de la Espada",1
"Jim McLean",1
"Jingchun Li",1
"Jisuo Jin",1
"J. Iverson",1
"J. J. Mahoney",1
"J. J. ter Poorten",1
"J.K. Adams 1992",1
"J. Kaufman",1
"J. Kelly, P. Desmond, Freshman, 1965-66",1
"J.K.H.",1
"J. Klimanszewski",1
"J. Lang, 2007",1
"J. L. Austaut",1
"J. Lazell",1
"J. L. Goedert",1
"J.L. Goedert",1
"JLP",1
"JLR",1
"J. MacDougall",1
"J.M. Armentrout",1
"JMC",1
"J. McGovern",1
"J. M. de la Barrera",1
"J. M. Diaz de Astarloa",1
"J. M. Gilliss",1
"J. M. Valentine",1
"J. Nekola",1
"Joachim Barrande, John Pojeta Jr.",1
"Joachim Barrande, Mcaledter",1
"Joachim Barrande, Newell",1
"JOB ( = Jack Brookhart ?)",1
"Joe Batty",1
"Joel Martin",1
"Joel Martin, Alphonse Milne-Edwards",1
"Joe Miraglia",1
"Joe Warfel",1
"Johan Lindgren, Mikael Siverson",1
"Johannes Hurzeler",1
"Johannes Weigelt",1
"John A. Allen, H. L. Sanders",1
"John A. Dorr",1
"John A. Kochalka",1
"John Allen, Feb-Sept 2005",1
"John A. McNeil, J. C. Armstrong",1
"John A. Moore",1
"John A. Musick, John D. McEachran",1
"John Anderson",1
"John Anderson, Stephen G. Tilley",1
"John A. Wolffsohn",1
"John A. Young Jr.",1
"John Bartley",1
"John B. Buck",1
"John C. Barry, Everett H. Lindsay, Louis L. Jacobs",1
"John Cook",1
"John D. Hardy",1
"John E. Dallman",1
"John Edward Gray",1
"John E. Guilday",1
"John E. Miller",1
"John E. Olney, Douglas F. Markle, Williams",1
"John E. Randall, Karsten E. Hartel",1
"John E. Randall, Paul Guézé",1
"John E. Thayer Expedition",1
"John Eyerman",1
"John F. Bovard",1
"John G. Lundberg, Gerard R. Case",1
"John Gould Anthony",1
"John H. Clark",1
"John H. Clarke",1
"John H. Dearborn",1
"John Hewitt",1
"John H. Sandground, H. E. Clark",1
"John J. Flynn, Andre R. Wyss",1
"John Kaylor",1
"John Kaylor, Karsten E. Hartel",1
"John K. Galbraith, Anne W. Everly",1
"John K. Tucker",1
"John Linehan",1
"John Mark Malinky",1
"John Mewherter",1
"John Morris",1
"John O'Leary",1
"John O. Whitaker, Jr.",1
"John P. Kelly, Deborah A. Triant",1
"John P. Kelly, M. L. Steiner",1
"John Pope, John Pope",1
"John R. Ball",1
"John R. Horner, David B. Weishampel",1
"John R. Horner, Robert Makela",1
"John R. Laurie",1
"John Rodgers",1
"John R. Paxton, P. A. Hulley",1
"John R. Wible, Guillermo W. Rougier",1
"John S. Colman",1
"John Scott",1
"John S. Newberry, Amos H. Worthen",1
"Johnson, Erik Bertelsen",1
"John S. Shelton",1
"John Stanley Gardiner",1
"John Starmer",1
"John Taylor",1
"John Tennent, Chris Müller",1
"John T. Nichols, Charles M. Breder, Jr.",1
"John T. Robinson",1
"John W. Dawson",1
"John W. Fitzpatrick",1
"John W. H. Rehn",1
"John W. Koenig",1
"John W. Reintjes",1
"John W. Wells",1
"Jonathan I. Bloch, Daniel C. Fisher, Kenneth D. Rose, Philip D. Gingerich",1
"Jonathan I. Bloch, Philip D. Gingerich",1
"Jonathan R. Hendricks",1
"Jon Branstrator",1
"(JONES",1
"JONES, ET AL.",1
"(Jones+Holl), Harris",1
"JONES, KIRKAY | BRADY",1
"JONES | SHERBORN",1
"JONES, SHERBORN",1
"Jon N. Weber",1
"J. O. Nomland",1
"Jon Woodward",1
"(Jordan), Rolfe",1
"JOR, Ernest E. Williams",1
"Jorge Cortés",1
"Jorge L. Kraglievich",1
"Jorgen G. Nielsen, Petzer",1
"Jorgen G. Nielsen, Smith",1
"Jorgen Neilsen, Karsten E. Hartel",1
"José Manuel Guerra García",1
"J. O. Schmidt",1
"Jose I. Castro",1
"Joseph A. Chapman, Gerald M. Ponton",1
"Joseph A. Corsini",1
"Joseph A. Cushman, Pedro J. Bermúdez",1
"Joseph C. Bequaert, Alana Rivera",1
"Joseph C. Bequaert, George Salt",1
"Joseph D. DiBattista",1
"Joseph Francis Rock",1
"Joseph F. Whiteaves",1
"Joseph Lapp",1
"Joseph Leidy, M.D.",1
"Joseph L. Hart",1
"Joseph R. Bailey, Jr.",1
"Joseph Staton",1
"Joseph Stocker",1
"Joseph T. Hannibal",1
"Joseph Wright",1
"Joshua B. Smith, David R. Vann, Peter J. Dodson",1
"Joshua Curtis",1
"Joshua D. Reuther",1
"Josiah Cook",1
"Josiah H. Townsend, Larry D Wilson",1
"Josselyn Van Tyne",1
"J. Ostergaard",1
"Jother",1
"Joyce Thompson",1
"J.P. Donahue",1
"J.P.E.M., 1951",1
"J. Pesch",1
"J. Pezzi da Sylva",1
"J.P. Hume",1
"J. Pierce",1
"J. Quinn, 11 Feb 1985",1
"J. Ralph Lichtenfels, Patricia A. Pilitt, Lynda M. Gibbons, Eric P. Hoberg",1
"J. R. B.",1
"J.R. Casciotta",1
"J. Richard Vockeroth",1
"J. R. King",1
"J. R. Malloch",1
"J.R. Maudeley",1
"J. Roetter",1
"J. R. Penniket",1
"J. S. Moure",1
"J. Stevenson",1
"J. S. Warmbath",1
"J. Szabo",1
"J. T. Hjelle",1
"J. T. Humphreys",1
"J. T. Medler",1
"J. T. Nichols",1
"J. Trendall",1
"J. T. Rothrock",1
"J. Turetsky",1
"J. Tutle",1
"j. Tuttle",1
"J T Weston",1
"Juan Gundlach, Peters",1
"Juan Miguel Artigas Azas",1
"Juan Pablo Ramirez",1
"Juan Torres-Vega",1
"Judge Newton",1
"Judith A. Schiebout",1
"Judith L. Robertson",1
"Judy A. Massare",1
"Jules Bonnier",1
"Jules M. Lambert, Alphonse Jeannet",1
"Julian Badcock, Karsten E. Hartel",1
"(Julien)",1
"(Julien), Jackson",1
"Julius Roger",1
"(Jullberg)",1
"Jung, P., 1985",1
"Jurbott",1
"Jurecek",1
"Justin Gerlach",1
"J. V. Corner",1
"JVRueda, Ernest E. Williams",1
"JWA",1
"J. W. Angell",1
"J. W. Bailey",1
"JWeins",1
"J. W. Hedpeth",1
"J.W., J.M.",1
"J. W. Johnson",1
"J. W. Lovering",1
"J. Wood-Mason",1
"J.W.P. Jenks",1
"J. W. Schmidt",1
"J.W. Shultz",1
"J. W. Simpson",1
"K.A. Campbell",1
"Kadar",1
"Kaila",1
"Kaiser",1
"Kammer; Raff",1
"Karen Peyer",1
"Kari Lavilli ? & E. Spahnud, 18.vii.2008",1
"Karl Koopman",1
"Karl Patterson Schmidt, D. Owens",1
"Karl P. Schmidt",1
"Karl V. Krombein",1
"Karnella_Charles_1966",1
"Karsten E. Hartel, Alan E. Launer",1
"Karsten E. Hartel, Albert E. Parr",1
"Karsten E. Hartel, Andrew D. Williston, [no agent data], William N. Eschmeyer",1
"Karsten E. Hartel, Bruce A. Thompson",1
"Karsten E. Hartel, Bruce W. Stallsmith",1
"Karsten E. Hartel, Cards",1
"Karsten E. Hartel, Chris Paulin",1
"Karsten E. Hartel, Christopher P. Kenaley, Tracey T.  Sutton",1
"Karsten E. Hartel, Chris Yoder",1
"Karsten E. Hartel, David L. Shores",1
"Karsten E. Hartel, Donald W. Bourne",1
"Karsten E. Hartel, Dwyer",1
"Karsten E. Hartel, Elaine L. Kelley",1
"Karsten E. Hartel, Elizabeth A. Maguire",1
"Karsten E. Hartel, Ernest  Wu",1
"Karsten E. Hartel, Eschmeyer Cat. of Fishes",1
"Karsten E. Hartel, Frank Pezold",1
"Karsten E. Hartel, Gerald R. Allen",1
"Karsten E. Hartel, GLM",1
"Karsten E. Hartel, Gordon J. Howes",1
"Karsten E. Hartel, G. Richard Harbison",1
"Karsten E. Hartel, Guido Dingerkus, Karla Soares",1
"Karsten E. Hartel, Harutaka Harta",1
"Karsten E. Hartel, HGM",1
"Karsten E. Hartel, Ian J. Harrison",1
"Karsten E. Hartel, Jeffery Leis",1
"Karsten E. Hartel, Jenifer L. Bush, Diego F. B. Vaz",1
"Karsten E. Hartel, John R. Paxton",1
"Karsten E. Hartel, Joseph L. Russo",1
"Karsten E. Hartel, Kara Feilich",1
"Karsten E. Hartel, Karla Soares",1
"Karsten E. Hartel, Kenneth J. Sulak",1
"Karsten E. Hartel, Lucia de Leiris",1
"Karsten E. Hartel, Marion G. Grey",1
"Karsten E. Hartel, Michael Ophir",1
"Karsten E. Hartel, Peter B. McIntyre",1
"Karsten E. Hartel, Phillip C. Heemstra",1
"Karsten E. Hartel, R.L. Max",1
"Karsten E. Hartel, Robert H. Gibbs",1
"Karsten E. Hartel, Robert Schoknecht",1
"Karsten E. Hartel, Stanley H. Weitzman",1
"Karsten E. Hartel, Steve Bailey",1
"Karsten E. Hartel, Tetsuji Nakabo",1
"Karsten E. Hartel, Theodore W. Pietsch",1
"Karsten E. Hartel, Victor G. Springer",1
"Karsten E. Hartel, Walter R. Courtenay, Jr.",1
"Karsten E. Hartel, W. C. Kendall",1
"Karsten E. Hartel, William J. Richards",1
"Karsten E. Hartel, William L. Fink, Bruce B. Collette",1
"Kaseno",1
"Kate Rawlinson",1
"Katherine Krueger",1
"Kathirithamby",1
"Kathleen S. Cole, Frank Pezold",1
"Kathrin Jaeck",1
"Katrina Kennedy",1
"Katrine Worsaae",1
"Kaufman; Runnegar, Bruce N.",1
"KAVER",1
"Kay Culpepper",1
"Kazantsev",1
"Kazunori Miyata, Yukimitsu Tomida",1
"Kazushige Tanabe",1
"K. B. Blake",1
"K. C. Beard, Alan R. Tabrum",1
"K. C. Beard, Leonard Krishtalka, Richard K. Stucky",1
"K. C. Edwards",1
"K. Christensen",1
"KCP",1
"(Keeping), Jackson",1
"Keeton ?",1
"Keferstein?",1
"K. E. Goellner, 1962",1
"Kei Okamoto",1
"Keizô Yasumatsu",1
"Kelaney",1
"Kellogg, Aug. 1985",1
"Kellum; Davies; Swinney",1
"Kelsey",1
"Kelvyn L. Dunn",1
"Kemal Geyran",1
"Kennedy; Landman",1
"Kennedy,  William",1
"Kennedy, William James, University of Oxford (UNITED KINGDOM)",1
"Kennedy, William J.; Cobban, William A.; Klinger, Herbert C.",1
"Kenneth A. Tighe, Kenneth J. Sulak",1
"Kenneth Carpenter, David W. Dilkes, David B. Weishampel",1
"Kenneth Carpenter, D. B. Young",1
"Kenneth C. Gass, Greg D. Edgecombe, Lars Ramsköld, Don Mikulic, Rodney Watkins",1
"Kenneth D. Rose, Elwyn L. Simons",1
"Kenneth D. Rose, Philip D. Gingerich",1
"Kenneth D. Rose, Robert J. Emry",1
"Kenneth D. Rose, Thomas M. Bown, Elwyn L. Simons",1
"Kenneth E. Campbell Jr.",1
"Kenneth J. Sulak, Anthony Laska",1
"Kenneth J. Sulak, R.E. Crabtree, Jean-Claude Hureau",1
"Kenneth K. Kietzke",1
"Kenneth R. De Baets",1
"Kenneth Relyea",1
"Kenneth Sassen",1
"Kenshu Shimada",1
"Kent Price",1
"Ken W. Able, et al.",1
"Kesling, Frederick Hotchkiss",1
"Kesling; Paul",1
"Kessler",1
"K. E. Stager",1
"Kevin D. Doyle, Hans-Dieter Sues",1
"Kevin R. Hinson, Richard J. Buss",1
"Kew",1
"Keyes",1
"K. Fauchald",1
"K. Geran",1
"Kiaer; Heintz",1
"Kieffer",1
"Kieran Davis",1
"Kindle; Prosser",1
"Kindle; Shaw",1
"(Kindle+Tasch), Lieberman",1
"(King+Broderip",1
"Kingsley",1
"Kirchner",1
"KIRKBY",1
"Kishor Kumar, Rajendra S. Rana, B. S. Paliwal",1
"Kitching",1
"Kizirian",1
"K. Krueger",1
"Klaus Ruetzler, Belinda Alvarez de Glasby",1
"Klein",1
"KLEINPELL",1
"KL-fishes",1
"Klipstein",1
"KMJ",1
"KMJ, BGH",1
"Knechtel, Young",1
"K. Netchy",1
"KNIGHT ?",1
"KNIGHT?",1
"Knight; Yochelson",1
"Knocolten",1
"Knowlton; Stanton",1
"Kobayashi Collection",1
"Koch",1
"Koch+Dunker, Canu+Bassler",1
"Kohen, Billings+Cleaves",1
"Kojan Kanda",1
"Kolata; Strimple; Levorson",1
"Kondratieff",1
"Korth; Emry, Robert J.",1
"Koslowsky",1
"Kozlowski",1
"K. Princis",1
"Kranz, Peter M.",1
"Kraus, F.",1
"K. Reutzler",1
"Kristina Fontanez",1
"Kroeger",1
"Kron, D3",1
"Krueger",1
"Krystal Tolley",1
"K. Schmidt, James E. Morrow, Jr.",1
"K. Schmidt, Judy D. Weinstein",1
"K. S. Cummings",1
"Kummel+Erben",1
"KUNTZ",1
"Kurt Schatzl",1
"Kuy Scheerer",1
"L. Abe",1
"L. A. Fuertes",1
"Laitzeff, James",1
"Lam.",1
"LAM",1
"(LAMARCK)",1
"(Lamarck), Jackson",1
"Lamarck, Louis Agassiz",1
"Lamarck, Pierre Jean Edouard Desor",1
"Lamb, Chas.",1
"Lambert",1
"Lambert, Hichcock",1
"Lambert, Kier",1
"Lamotte and Perret",1
"Landman, Neil H., (AMNH (I)), American Museum of Natural History (UNITED STATES)",1
"Landye, J. Jerry",1
"Lane; Howell",1
"(Langd+Smith), Stumm",1
"Lanham, VN",1
"Lankester",1
"Lantz",1
"Larisa DeSantis",1
"Larry D. Martin, R. G. Corner",1
"Larry E. Rose",1
"Larry J. Pinter",1
"Larry Rinehart",1
"Larsen",1
"Larson, C. E.",1
"Lars Werdelin",1
"LaSalle",1
"Lasovre",1
"Latreille",1
"Latreilly",1
"Latrielle",1
"Laura Kozuch",1
"Laura Shy",1
"Laurent G. de Koninck",1
"Laurent-Guillaume de Koninck, Jackson",1
"Lawrence E. Griffin",1
"Lawrence F. Gall",1
"Lawrence M. Lambe",1
"Lawrence S. Dillon",1
"Lawson",1
"Layne; McClure",1
"L. Beverly H. Tarlo",1
"L. Birnbach",1
"L B. Mather",1
"L. B. Mathers : Field Museum",1
"L. Boone",1
"L | D",1
"Leandro M. Vieira",1
"Leary; Pfefferkorn, Hermann W.",1
"(Lea), Vaughan",1
"LeC.",1
"Lech Borowiec",1
"Ledger, Cards, William N. Eschmeyer",1
"Ledger, N. A. Borodin",1
"Ledger, Rex Passion",1
"Ledger, S. Garman",1
"Leeanne E. Alonso",1
"Lee. D Miller",1
"Lefkler",1
"Legacy - Galton, Peter M., (YPM (V)), Yale University (UNITED STATES)",1
"Legacy - Welton, Bruce J., (LACM), Natural History Museum of Los Angeles County (UNITED STATES)",1
"Legacy - Wilson, Gregory P., (DMNS), Denver Museum of Nature & Science (UNITED STATES)",1
"Legendre",1
"Leibhe",1
"LEIBUS, RICH, SCHUBERT",1
"Leidy, Joseph T.",1
"Leirton",1
"LENNI",1
"Leo Lesquereux",1
